TransactionId,Voucher,Amount (Original),Amount (Base USD),Amount (Base),Currency (Original),Account Code,HFM Account,Journal Type,Journal Desc,Customer or Supplier,Transaction Date,Transaction Entered By,Transaction Entered Date,Transaction Updated By,Transaction Updated Date,COY_ID,Entity Name,Vessel AUX,Reference,Updated in ODP,Transaction Open,Transaction Text
VGR731468262,259397V7,15,11.62,15,USD,1200000,BS20101,SI,Sales Invoice,,22-08-2025,Savita Gaikwad,11:51.8,Savita Gaikwad,11:51.8,,,,VSA-2025-42826,03:48.5,Yes,"Expenses August 2025 
"
VGR731468263,259398V7,-45.76,-35.45,-45.76,USD,1200000,BS20101,SI,Sales Invoice,,22-08-2025,Savita Gaikwad,11:51.8,Savita Gaikwad,11:51.8,,,,VSA-2025-42827,03:48.5,Yes,"Expenses August 2025 
"
VGR731478053,AUTO,-10455.48,-8100,-10455.48,USD,1200000,BS20101,SR,Sales Receipt,,22-08-2025,Nishant Jain,33:58.8,Nishant Jain,33:58.9,,,,,03:48.5,Yes,TS MELBOURNE
VGR731478055,AUTO,-10907.26,-8450,-10907.26,USD,1200000,BS20101,SR,Sales Receipt,,22-08-2025,Nishant Jain,34:26.9,Nishant Jain,34:26.9,,,,,03:48.5,Yes,TS MAWEI
VGR731478057,AUTO,-10907.26,-8450,-10907.26,USD,1200000,BS20101,SR,Sales Receipt,,22-08-2025,Nishant Jain,34:55.5,Nishant Jain,34:55.5,,,,,03:48.5,Yes,TS KEELUNG
VGR731478062,259412V7,-325869.72,-252455.62,-325869.72,SGD,3203075,IGNORE,BV,Bank Voucher,,22-08-2025,Nishant Jain,38:34.5,Nishant Jain,38:34.6,VSERGSM0125,VSAG V.Ships Asia Group Pte Ltd (HOLDING),,,03:48.5,Yes,VSAG CASH POOLING
VGR731484278,AUTO,90617.61,70202.66,90617.61,USD,3203080,IGNORE,JV,Journal Voucher,,12-08-2025,Deepak Yadav,48:42.8,Deepak Yadav,48:42.8,VSERGSM0159,SSCM SHIP SUPPLY CHAIN MANAGEMENT BRANCH,,,03:48.5,Yes,Inter-company settlement
VGR731484840,AUTO,-140.2,-108.61,-140.2,USD,1210000,BS26100,JV,Journal Voucher,,12-08-2025,Deepak Yadav,48:35.5,Deepak Yadav,48:35.5,VCORGSE0055,VPLN Viplex ,,,03:48.5,Yes,Inter-company settlement
VGR731484841,AUTO,-14890.67,-11536,-14890.67,USD,1210000,BS26100,JV,Journal Voucher,,12-08-2025,Deepak Yadav,48:35.5,Deepak Yadav,48:35.5,VSERGSM0174,VGGS V.GROUP GLOBAL (SINGAPORE) Pte Ltd.,,,03:48.5,Yes,Inter-company settlement
VGR731484842,AUTO,-14695.36,-11384.69,-14695.36,USD,1210000,BS26100,JV,Journal Voucher,,12-08-2025,Deepak Yadav,48:35.5,Deepak Yadav,48:35.5,VCREGSM0041,VGP - V.Group Manpower Services,,,03:48.5,Yes,Inter-company settlement
